Timestamp,R,G,B,Detected Color
2025-03-17 12:48:17,255,21,27,Blue (Ryb)
2025-03-17 12:48:17,255,21,27,Blue (Ryb)
2025-03-17 12:48:17,255,21,25,Blue (Ryb)
2025-03-17 12:48:17,255,22,44,Tractor Red
2025-03-17 12:48:17,255,22,42,Tractor Red
2025-03-17 12:48:17,255,34,47,Tractor Red
2025-03-17 12:48:17,255,34,36,Blue (Ryb)
2025-03-17 12:48:17,255,41,41,Deep Carmine Pink
2025-03-17 12:48:17,255,44,34,Blue (Ryb)
2025-03-17 12:48:17,255,34,36,Blue (Ryb)
2025-03-17 12:48:17,255,30,41,Tractor Red
2025-03-17 12:48:17,255,33,42,Tractor Red
2025-03-17 12:48:17,255,33,42,Tractor Red
2025-03-17 12:48:17,255,22,38,Tractor Red
2025-03-17 12:48:17,255,20,33,Tractor Red
2025-03-17 12:48:17,255,20,31,Ruddy
2025-03-17 12:48:17,255,22,42,Tractor Red
2025-03-17 12:48:17,255,23,29,Blue (Ryb)
2025-03-17 12:48:17,255,21,35,Tractor Red
2025-03-17 12:48:17,255,24,39,Tractor Red
2025-03-17 12:48:17,255,22,40,Tractor Red
2025-03-17 12:48:17,255,20,38,Tractor Red
2025-03-17 12:48:17,255,20,40,Tractor Red
2025-03-17 12:48:17,255,20,31,Ruddy
2025-03-17 12:48:17,255,25,36,Tractor Red
2025-03-17 12:48:17,255,20,31,Ruddy
2025-03-17 12:48:17,255,22,42,Tractor Red
2025-03-17 12:48:17,255,24,47,Tractor Red
2025-03-17 12:48:17,255,22,40,Tractor Red
2025-03-17 12:48:17,255,22,42,Tractor Red
2025-03-17 12:48:17,255,20,33,Tractor Red
2025-03-17 12:48:18,255,27,43,Tractor Red
2025-03-17 12:48:18,255,24,42,Tractor Red
2025-03-17 12:48:18,255,26,37,Tractor Red
2025-03-17 12:48:18,255,23,36,Tractor Red
2025-03-17 12:48:18,255,26,43,Tractor Red
2025-03-17 12:48:18,255,26,37,Tractor Red
2025-03-17 12:48:18,255,30,39,Tractor Red
2025-03-17 12:48:18,255,27,38,Tractor Red
2025-03-17 12:48:18,255,32,35,Blue (Ryb)
2025-03-17 12:48:18,255,35,29,Blue (Ryb)
2025-03-17 12:48:18,255,35,37,Blue (Ryb)
2025-03-17 12:48:18,255,38,37,Blue (Ryb)
2025-03-17 12:48:18,255,48,40,Deep Carmine Pink
2025-03-17 12:48:18,255,49,37,Blue (Ryb)
2025-03-17 12:48:18,255,59,32,Blue (Ryb)
2025-03-17 12:48:18,255,57,33,Blue (Ryb)
2025-03-17 12:48:18,255,53,34,Blue (Ryb)
2025-03-17 12:48:18,255,54,32,Blue (Ryb)
2025-03-17 12:48:18,255,58,39,Deep Carmine Pink
2025-03-17 12:48:18,255,58,37,Deep Carmine Pink
2025-03-17 12:48:18,255,20,40,Tractor Red
2025-03-17 12:48:18,255,22,42,Tractor Red
2025-03-17 12:48:18,255,19,28,Blue (Ryb)
2025-03-17 12:48:18,255,20,36,Tractor Red
2025-03-17 12:48:18,255,22,38,Tractor Red
2025-03-17 12:48:18,255,22,42,Tractor Red
2025-03-17 12:48:18,255,20,40,Tractor Red
2025-03-17 12:48:18,255,22,40,Tractor Red
2025-03-17 12:48:18,255,22,42,Tractor Red
2025-03-17 12:48:18,255,22,42,Tractor Red
2025-03-17 12:48:19,255,20,38,Tractor Red
2025-03-17 12:48:19,255,22,42,Tractor Red
2025-03-17 12:48:19,255,20,33,Tractor Red
2025-03-17 12:48:19,255,19,30,Ruddy
2025-03-17 12:48:19,255,20,33,Tractor Red
2025-03-17 12:48:19,255,20,33,Tractor Red
2025-03-17 12:48:19,255,22,44,Tractor Red
2025-03-17 12:48:19,255,22,42,Tractor Red
2025-03-17 12:48:19,255,22,40,Tractor Red
2025-03-17 12:48:19,255,20,33,Tractor Red
2025-03-17 12:48:19,255,20,40,Tractor Red
2025-03-17 12:48:19,255,20,33,Tractor Red
2025-03-17 12:48:19,255,22,42,Tractor Red
2025-03-17 12:48:19,255,20,33,Tractor Red
2025-03-17 12:48:19,255,22,40,Tractor Red
2025-03-17 12:48:19,255,20,31,Ruddy
2025-03-17 12:48:19,255,20,40,Tractor Red
2025-03-17 12:48:19,255,20,36,Tractor Red
2025-03-17 12:48:19,255,20,38,Tractor Red
2025-03-17 12:48:19,255,22,42,Tractor Red
2025-03-17 12:48:19,255,20,33,Tractor Red
2025-03-17 12:48:19,255,20,31,Ruddy
2025-03-17 12:48:19,255,22,40,Tractor Red
2025-03-17 12:48:19,255,20,38,Tractor Red
